Nr,Class,Methods / Requirements,Signature,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9
1,de.java_chess.javaChess.JavaChess,main,([Ljava/lang/String;)V,x,,,,,,,,,
2,de.java_chess.javaChess.JavaChess,-init-,()V,x,,,,,,,,,
3,de.java_chess.javaChess.renderer2d.StatusPanel,-init-,(Ljava/lang/String;)V,x,,,,,,,,,
4,de.java_chess.javaChess.renderer2d.StatusPanel,jbInit,()V,x,,,,,,,,,
5,de.java_chess.javaChess.JavaChess$1,-init-,()V,x,,,,,,,,,
6,de.java_chess.javaChess.JavaChess,jbInit,()V,x,,,,,,,,,
7,de.java_chess.javaChess.util.ResourceLoader,-clinit-,()V,x,,,,,,,,,
8,de.java_chess.javaChess.util.ResourceLoader,getInstance,()Lde/java_chess/javaChess/util/ResourceLoader;,x,,,,,,,,,
9,de.java_chess.javaChess.util.ResourceLoader,-init-,()V,x,,,,,,,,,
10,de.java_chess.javaChess.util.ResourceLoader,addLocation,(Ljava/lang/String;)V,x,,,,,,,,,
11,de.java_chess.javaChess.game.GameImpl,-init-,()V,x,,,,,,,,,
12,de.java_chess.javaChess.util.UnsynchronizedArrayStack,-init-,()V,x,,,,,,,,,
13,de.java_chess.javaChess.util.UnsynchronizedArrayStack,-init-,(I)V,x,,,,,,,,,
14,de.java_chess.javaChess.notation.GameNotationImpl,-init-,()V,x,,,,,,,,,
15,de.java_chess.javaChess.bitboard.BitBoardImpl,-init-,()V,x,,,,,,,,,
16,de.java_chess.javaChess.bitboard.BitBoardImpl,initialPosition,()V,x,x,,x,,x,x,,,
17,de.java_chess.javaChess.position.PositionImpl,-init-,(I)V,x,,,,,,,,,
18,de.java_chess.javaChess.position.PositionImpl,setSquareIndex,(I)V,x,x,,x,,x,x,,,
19,de.java_chess.javaChess.bitboard.BitBoardImpl,setPiece,(Lde/java_chess/javaChess/piece/Piece;Lde/java_chess/javaChess/position/Position;)V,x,x,,x,,x,x,,,
20,de.java_chess.javaChess.position.PositionImpl,getSquareIndex,()I,x,x,,x,,x,x,,,
21,de.java_chess.javaChess.piece.PieceImpl,-init-,(BB)V,x,,,,,,,,,
22,de.java_chess.javaChess.piece.PieceImpl,-init-,(B)V,x,,,,,,,,,
23,de.java_chess.javaChess.piece.PieceImpl,getTypeAndColor,()B,x,x,,,,x,x,,,
24,de.java_chess.javaChess.engine.ChessEngineImpl,-init-,(Lde/java_chess/javaChess/game/Game;Lde/java_chess/javaChess/notation/GameNotation;Lde/java_chess/javaChess/board/Board;Z)V,x,,,,,,,,,
25,de.java_chess.javaChess.engine.ChessEngineImpl,createLogFile,()V,x,,,,,,,,,
26,de.java_chess.javaChess.engine.ChessEngineImpl,setGame,(Lde/java_chess/javaChess/game/Game;)V,x,,,,,,,,,
27,de.java_chess.javaChess.engine.ChessEngineImpl,setBoard,(Lde/java_chess/javaChess/board/Board;)V,x,,,,,,,,,
28,de.java_chess.javaChess.engine.ChessEngineImpl,setWhite,(Z)V,x,,,,,,,,,
29,de.java_chess.javaChess.engine.hashtable.PlyHashtableImpl,-init-,(I)V,x,,,,,,,,,
30,de.java_chess.javaChess.engine.hashtable.PlyHashtableImpl,setMaximumSize,(I)V,x,,,,,x,,,,
31,de.java_chess.javaChess.engine.hashtable.PlyHashtableImpl,getSize,()I,x,,,x,,,x,,,
32,de.java_chess.javaChess.engine.hashtable.PlyHashtableImpl,getMaximumSize,()I,x,,,x,x,,x,,,
33,de.java_chess.javaChess.engine.PlyGenerator,-clinit-,()V,x,,,,,,,,,
34,de.java_chess.javaChess.engine.ChessEngineImpl,getGame,()Lde/java_chess/javaChess/game/Game;,x,,,,,,x,,,
35,de.java_chess.javaChess.engine.PlyGenerator,-init-,(Lde/java_chess/javaChess/game/Game;Lde/java_chess/javaChess/engine/hashtable/PlyHashtable;)V,x,,,,,,,,,
36,de.java_chess.javaChess.engine.PlyGenerator,setGame,(Lde/java_chess/javaChess/game/Game;)V,x,,,x,,,,,,
37,de.java_chess.javaChess.engine.PlyGenerator,setHashtable,(Lde/java_chess/javaChess/engine/hashtable/PlyHashtable;)V,x,,,x,,,,,,
38,de.java_chess.javaChess.engine.PlyGenerator,precomputeKnightPlies,()V,x,,,x,,,,,,
39,de.java_chess.javaChess.engine.PlyGenerator,precomputeKingPlies,()V,x,,,x,,,,,,
40,de.java_chess.javaChess.engine.BitBoardAnalyzerImpl,-clinit-,()V,x,,,,,,,,,
41,de.java_chess.javaChess.engine.BitBoardAnalyzerImpl,-init-,(Lde/java_chess/javaChess/game/Game;Lde/java_chess/javaChess/engine/PlyGenerator;)V,x,,,,,,,,,
42,de.java_chess.javaChess.engine.BitBoardAnalyzerImpl,setGame,(Lde/java_chess/javaChess/game/Game;)V,x,,,x,,,,,,
43,de.java_chess.javaChess.engine.BitBoardAnalyzerImpl,setPlyGenerator,(Lde/java_chess/javaChess/engine/PlyGenerator;)V,x,,,x,,,,,,
