Class,R0,R1,R2,R3,R4,R5,R6,R7
de.java_chess.javaChess.action.AboutAction,x,,,,,,,
de.java_chess.javaChess.action.HelpAction,x,,,,,,,
de.java_chess.javaChess.action.JavaChessAction,x,,,,,,,
de.java_chess.javaChess.action.LoadGameAction,x,,,,,,,
de.java_chess.javaChess.action.ResetGameAction,x,,,,,,,
de.java_chess.javaChess.action.SaveGameAction,x,,,,,x,x,
de.java_chess.javaChess.action.SaveGameAsAction,x,,,,,x,x,
de.java_chess.javaChess.bitboard.BitBoardImpl,x,x,,x,,x,x,
de.java_chess.javaChess.engine.BitBoardAnalyzerImpl,x,,,x,,x,x,
de.java_chess.javaChess.engine.ChessEngineImpl,x,x,,x,x,x,x,
de.java_chess.javaChess.engine.hashtable.PlyHashtableEntryImpl,,,,,,x,x,
de.java_chess.javaChess.engine.hashtable.PlyHashtableImpl,x,,,x,x,x,x,
de.java_chess.javaChess.engine.hashtable.ZobristKeyImpl,,,,,,x,x,
de.java_chess.javaChess.engine.opening_book.action.LoadOpeningsAction,x,,,,,,,
de.java_chess.javaChess.engine.opening_book.OpeningBookImpl,x,,,,,x,x,
de.java_chess.javaChess.engine.permanent_brain.PermanentBrain,x,,,x,x,x,x,
de.java_chess.javaChess.engine.PlyGenerator,x,,,x,,x,x,
de.java_chess.javaChess.game.GameImpl,x,,,,,x,x,
de.java_chess.javaChess.game.GameImpl$GameStatus,,,,,,x,x,
de.java_chess.javaChess.GameController,x,,,x,,x,x,
de.java_chess.javaChess.JavaChess,x,,,,x,,,
de.java_chess.javaChess.JavaChess$1,x,,,,,,,
de.java_chess.javaChess.JavaChess$2,x,,,,,,,
de.java_chess.javaChess.JavaChess$3,x,,,,,,,
de.java_chess.javaChess.JavaChess$4,x,,,,,,x,
de.java_chess.javaChess.menu.EditMenu,x,,,,,,,
de.java_chess.javaChess.notation.GameNotationImpl,x,,,,,x,x,
de.java_chess.javaChess.notation.PlyNotationImpl,,,,x,,x,x,
de.java_chess.javaChess.pgn.GameLoader,,,,x,,x,x,
de.java_chess.javaChess.pgn.PGNFileFilter,,,,x,,,,
de.java_chess.javaChess.pgn.PGNLexer,,,,x,,,,
de.java_chess.javaChess.pgn.PGNOutputStream,,,,x,,,,
de.java_chess.javaChess.pgn.PGNParser,,,,x,,x,x,
de.java_chess.javaChess.pgn.PGNTokenTypes,,,,x,,x,x,
de.java_chess.javaChess.piece.PieceImpl,x,x,,,,x,x,
de.java_chess.javaChess.position.PositionImpl,x,x,,x,,x,x,
de.java_chess.javaChess.renderer2d.AnimationLayer,x,,,,,,,
de.java_chess.javaChess.renderer2d.BoardLayer,x,,,,,,,
de.java_chess.javaChess.renderer2d.ChessBoardRenderer2D,x,x,,,,x,x,
de.java_chess.javaChess.renderer2d.ChessSet,x,,,,,,,
de.java_chess.javaChess.renderer2d.ControlLayer,x,x,,,,x,x,
de.java_chess.javaChess.renderer2d.ControlLayer$1,x,,,,,x,x,
de.java_chess.javaChess.renderer2d.EnginePanel,x,,,,,,x,x
de.java_chess.javaChess.renderer2d.GameTimerPanel,x,,,x,,x,x,x
de.java_chess.javaChess.renderer2d.NavigationPanel,x,,,,,,,
de.java_chess.javaChess.renderer2d.NotationPanel,x,,,,,x,x,x
de.java_chess.javaChess.renderer2d.PieceRenderer,x,,,,,,,
de.java_chess.javaChess.renderer2d.PiecesLayer,x,x,,,,x,x,
de.java_chess.javaChess.renderer2d.PositionRenderer,x,,,,,x,x,
de.java_chess.javaChess.renderer2d.StatusPanel,x,,,,x,,x,
de.java_chess.javaChess.renderer2d.TimerPanel,x,x,,x,,x,x,
de.java_chess.javaChess.util.ResourceLoader,x,,,,,,,
de.java_chess.javaChess.util.UnsynchronizedArrayStack,x,,,,,x,x,
