,R01-Create Tasks,R02-Delete Tasks,R03-Maintain Task Properties,R04-Add/Remove Tasks as Subtasks,R05-Handle Milestones,R06-Create Resources (person),R07-Delete Resources (person),R08-Maintain Resource Properties,R09-Add/Remove Task Links,R10-Add/Remove Resources to Tasks Dependencies,R11-Change Task Begin/End Times manually with user changes,R12-Change Task Begin/End Times automatically with dependency changes,R13-Change Task Begin/End Times automatically with subtask changes,R14-Prevent Circular Dependencies,R16-Add/Remove Holidays and Vacation Days,R17-Show Resource Utilization (underused or overused person)
net.sourceforge.ganttproject.action.project.ExitAction,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.action.project.NewProjectAction,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.action.project.OpenProjectAction,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.action.project.OpenURLAction,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.action.project.PrintAction,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.action.project.ProjectMenu,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.action.project.SaveProjectAction,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.action.project.SaveProjectAsAction,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.action.project.SaveURLAction,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.action.task.LinkTasksAction,,,,,,,,,x,,,,,,,
net.sourceforge.ganttproject.action.task.TaskActionBase,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.action.task.UnlinkTasksAction,,,,,,,,,x,,,,,,,
net.sourceforge.ganttproject.action.AddBlankLineAction,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.action.CalculateCriticalPathAction,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.action.CancelAction,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.action.CopyAction,x,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.action.CutAction,,x,,x,,,,,,,,,,,,
net.sourceforge.ganttproject.action.DeleteAssignmentAction,,,,,,,,,,x,,,,,,
net.sourceforge.ganttproject.action.DeleteHumanAction,,,,,,,x,,,,,,,,,
net.sourceforge.ganttproject.action.GPAction,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.action.ImportResources,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.action.NewArtefactAction,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.action.NewHumanAction,,,,,,x,,,,,,,,,,
net.sourceforge.ganttproject.action.NewTaskAction,x,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.action.OkAction,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.action.PasteAction,x,,,x,,,,,,,,,,,,
net.sourceforge.ganttproject.action.RedoAction,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.action.RefreshViewAction,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.action.ResourceAction,,,,,,x,x,x,,,,,,,,
net.sourceforge.ganttproject.action.ResourceActionSet,,,,,,x,x,,,,,,,,,
net.sourceforge.ganttproject.action.RolloverAction,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.action.ScrollGanttChartLeftAction,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.action.ScrollGanttChartRightAction,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.action.SwitchViewAction,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.action.UndoAction,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.action.ZoomInAction,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.action.ZoomOutAction,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.application.MainApplication,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.calendar.AlwaysWorkingTimeCalendarImpl,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.calendar.CalendarActivityImpl,,,x,,,,,,,,x,x,,,x,
net.sourceforge.ganttproject.calendar.GanttDaysOff,,,,,,,,x,,,,,,,x,
net.sourceforge.ganttproject.calendar.GPCalendar,,,,,,,,,,,x,x,,,x,
net.sourceforge.ganttproject.calendar.GPCalendarActivity,,,x,,,,,,,,x,x,,,,
net.sourceforge.ganttproject.calendar.GPCalendarBase,,,,,,,,,,,,x,x,,,
net.sourceforge.ganttproject.calendar.WeekendCalendarImpl,x,,x,,,,,,,,x,x,,,x,
net.sourceforge.ganttproject.calendar.XMLCalendarOpen,,,,,,,,,,,,,,,x,
net.sourceforge.ganttproject.chart.item.ChartItem,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.chart.item.TaskBoundaryChartItem,,,x,,,,,,,,x,,,,,
net.sourceforge.ganttproject.chart.item.TaskProgressChartItem,,,x,,,,,,,,,,,,,
net.sourceforge.ganttproject.chart.item.TaskRegularAreaChartItem,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.chart.BackgroundRendererImpl,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.chart.BottomUnitLineRendererImpl,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.chart.Chart,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.chart.ChartGridImpl,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.chart.ChartHeader,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.chart.ChartHeaderImpl,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.chart.ChartModel,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.chart.ChartModelBase,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.chart.ChartModelImpl,,,x,,,,,,,,x,,,,,
net.sourceforge.ganttproject.chart.ChartModelResource,,,,,,,,,,,,,,,,x
net.sourceforge.ganttproject.chart.ChartOptionGroup,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.chart.ChartRendererBase,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.chart.ChartUIConfiguration,x,,,,,,,,,,,,,,,x
net.sourceforge.ganttproject.chart.ChartViewState,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.chart.DayTypeAlternance,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.chart.DependencyInteractionRenderer,,,,,,,,,x,,,,,,,
