class,R01-Paint figures and connections,R02-Create figures and connections,R03-Delete figures,R04-Delete connections,R05-Select and deselect figures,R06-Move- scale- or rotate figures,R07-Change properties of figures,R08-Edit  text in figures,R09-Align figures,R10-Change z-ordering,R11-Grouping and ungrouping figures,R12-Launch the application,R13-Open an existing drawing,R14-Save a drawing,R15-Scalability:  Drawings should be as large as possible,R16-Performance: Quickly redraw figures if changed,R17-Performance: Quickly locate figures based on x-y coordinates,R18-Interoperability: Support data exchange via the clipboard,R19-Usability: Support operating system specific user interfaces,R20-Performance: Strive for a short startup latency,R21-Recoverability: periodic auto-save
org.jhotdraw.app.action.AboutAction,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.app.action.AbstractApplicationAction,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.app.action.AbstractSaveBeforeAction,,,,,,,,,,,,,,x,,,,,,,
org.jhotdraw.app.action.AbstractViewAction,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.app.action.Actions,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.app.action.ArrangeAction,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.app.action.ClearAction,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.app.action.ClearRecentFilesAction,,,,,,,,,,,,,x,,,,,,,,
org.jhotdraw.app.action.ClearSelectionAction,,,,,x,,,,,,,,,,,,,,,,
org.jhotdraw.app.action.CloseAction,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.app.action.CopyAction,,,,,,,,,,,,,,,,,,x,,,
org.jhotdraw.app.action.CutAction,,,x,,,,,,,,,,,,,,,x,,,
org.jhotdraw.app.action.DeleteAction,,,x,,,,,,,,,,,,,,,,,,
org.jhotdraw.app.action.DuplicateAction,,x,,,,,,,,,,,,,,,,,,,
org.jhotdraw.app.action.ExitAction,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.app.action.ExportAction,,,,,,,,,,,,,,x,,,,,,,
org.jhotdraw.app.action.FindAction,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.app.action.FocusAction,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.app.action.LoadAction,,,,,,,,,,,,,x,,,,,,x,,
