@RELATION traces 

@ATTRIBUTE program 	{chess, gantt, itrust, jhotdraw}
@ATTRIBUTE RequirementID	REAL
@ATTRIBUTE MethodID REAL 


@DATA


jhotdraw,12,1
jhotdraw,12,10
jhotdraw,12,17
jhotdraw,12,29
jhotdraw,12,32
jhotdraw,13,32
jhotdraw,14,32
jhotdraw,12,33
jhotdraw,13,33
jhotdraw,14,34
jhotdraw,13,35
jhotdraw,14,36
jhotdraw,12,37
jhotdraw,13,43
jhotdraw,14,43
jhotdraw,13,45
jhotdraw,14,46
jhotdraw,14,48
jhotdraw,12,49
jhotdraw,12,50
jhotdraw,14,52
jhotdraw,13,55
jhotdraw,14,55
jhotdraw,14,56
jhotdraw,11,110
jhotdraw,13,110
jhotdraw,14,110
jhotdraw,15,110
jhotdraw,16,110
jhotdraw,17,110
jhotdraw,18,110
jhotdraw,1,110
jhotdraw,2,110
jhotdraw,3,110
jhotdraw,4,110
jhotdraw,5,110
jhotdraw,6,110
jhotdraw,7,110
jhotdraw,8,110
jhotdraw,9,110
jhotdraw,20,110
jhotdraw,10,110
jhotdraw,21,110
jhotdraw,11,116
jhotdraw,13,116
jhotdraw,14,116
jhotdraw,15,116
jhotdraw,16,116
jhotdraw,17,116
jhotdraw,18,116
jhotdraw,1,116
jhotdraw,2,116
jhotdraw,3,116
jhotdraw,4,116
jhotdraw,5,116
jhotdraw,6,116
jhotdraw,7,116
jhotdraw,8,116
jhotdraw,9,116
jhotdraw,20,116
jhotdraw,10,116
jhotdraw,21,116
jhotdraw,11,117
jhotdraw,13,117
jhotdraw,14,117
jhotdraw,15,117
jhotdraw,16,117
jhotdraw,17,117
jhotdraw,18,117
jhotdraw,1,117
jhotdraw,2,117
jhotdraw,3,117
jhotdraw,4,117
jhotdraw,5,117
jhotdraw,6,117
jhotdraw,7,117
jhotdraw,8,117
jhotdraw,9,117
jhotdraw,20,117
jhotdraw,10,117
jhotdraw,21,117
jhotdraw,11,118
jhotdraw,13,118
jhotdraw,14,118
jhotdraw,15,118
jhotdraw,16,118
jhotdraw,17,118
jhotdraw,18,118
jhotdraw,1,118
jhotdraw,2,118
jhotdraw,3,118
jhotdraw,4,118
jhotdraw,5,118
jhotdraw,6,118
jhotdraw,7,118
jhotdraw,8,118
jhotdraw,9,118
jhotdraw,20,118
jhotdraw,10,118
jhotdraw,21,118
jhotdraw,11,123
jhotdraw,13,123
jhotdraw,14,123
jhotdraw,15,123
jhotdraw,16,123
jhotdraw,17,123
jhotdraw,18,123
jhotdraw,1,123
jhotdraw,2,123
jhotdraw,3,123
jhotdraw,4,123
jhotdraw,5,123
jhotdraw,6,123
jhotdraw,7,123
jhotdraw,8,123
jhotdraw,9,123
jhotdraw,20,123
jhotdraw,10,123
jhotdraw,21,123
jhotdraw,11,124
jhotdraw,13,124
jhotdraw,14,124
jhotdraw,15,124
jhotdraw,16,124
jhotdraw,17,124
jhotdraw,18,124
jhotdraw,1,124
jhotdraw,2,124
jhotdraw,3,124
jhotdraw,4,124
jhotdraw,5,124
jhotdraw,6,124
jhotdraw,7,124
jhotdraw,8,124
jhotdraw,9,124
jhotdraw,20,124
jhotdraw,10,124
jhotdraw,21,124
