@RELATION traces 

@ATTRIBUTE program 	{chess, gantt, itrust, jhotdraw}
@ATTRIBUTE RequirementID	REAL
@ATTRIBUTE MethodID REAL 


@DATA


gantt,14,1
gantt,16,1
gantt,17,1
gantt,2,1
gantt,3,1
gantt,4,1
gantt,5,1
gantt,6,1
gantt,7,1
gantt,8,1
gantt,9,1
gantt,10,1
gantt,14,2
gantt,16,2
gantt,17,2
gantt,2,2
gantt,3,2
gantt,4,2
gantt,5,2
gantt,6,2
gantt,7,2
gantt,8,2
gantt,9,2
gantt,10,2
gantt,14,3
gantt,16,3
gantt,17,3
gantt,2,3
gantt,3,3
gantt,4,3
gantt,5,3
gantt,6,3
gantt,7,3
gantt,8,3
gantt,9,3
gantt,10,3
gantt,14,4
gantt,16,4
gantt,17,4
gantt,2,4
gantt,3,4
gantt,4,4
gantt,5,4
gantt,6,4
gantt,7,4
gantt,8,4
gantt,9,4
gantt,10,4
gantt,14,5
gantt,16,5
gantt,17,5
gantt,2,5
gantt,3,5
gantt,4,5
gantt,5,5
gantt,6,5
gantt,7,5
gantt,8,5
gantt,9,5
gantt,10,5
gantt,11,8
gantt,12,8
gantt,13,8
gantt,14,8
gantt,16,8
gantt,17,8
gantt,2,8
gantt,3,8
gantt,4,8
gantt,5,8
gantt,6,8
gantt,7,8
gantt,8,8
gantt,9,8
gantt,10,8
gantt,11,9
gantt,12,9
gantt,13,9
gantt,14,9
gantt,16,9
gantt,17,9
gantt,1,9
gantt,2,9
gantt,3,9
gantt,4,9
gantt,5,9
gantt,6,9
gantt,7,9
gantt,8,9
gantt,9,9
gantt,10,9
gantt,11,10
gantt,12,10
gantt,13,10
gantt,14,10
gantt,16,10
gantt,17,10
gantt,1,10
gantt,2,10
gantt,3,10
gantt,4,10
gantt,5,10
gantt,6,10
gantt,7,10
gantt,8,10
gantt,9,10
gantt,10,10
gantt,11,11
gantt,12,11
gantt,13,11
gantt,14,11
gantt,16,11
gantt,2,11
gantt,4,11
gantt,5,11
gantt,7,11
gantt,8,11
gantt,9,11
gantt,10,11
gantt,11,12
gantt,12,12
gantt,13,12
gantt,14,12
gantt,16,12
gantt,1,12
gantt,2,12
gantt,3,12
gantt,4,12
gantt,5,12
gantt,6,12
gantt,9,12
gantt,10,12
gantt,11,13
gantt,12,13
gantt,13,13
gantt,14,13
gantt,16,13
gantt,17,13
gantt,1,13
gantt,2,13
gantt,3,13
gantt,4,13
gantt,5,13
gantt,6,13
gantt,7,13
gantt,8,13
gantt,9,13
gantt,10,13
gantt,11,14
gantt,12,14
gantt,13,14
gantt,14,14
gantt,16,14
gantt,17,14
gantt,1,14
gantt,2,14
gantt,3,14
gantt,4,14
gantt,5,14
gantt,6,14
gantt,7,14
gantt,8,14
gantt,9,14
gantt,10,14
gantt,11,15
gantt,12,15
gantt,13,15
gantt,14,15
gantt,16,15
gantt,17,15
gantt,1,15
gantt,2,15
gantt,3,15
gantt,4,15
gantt,5,15
gantt,6,15
gantt,7,15
gantt,8,15
gantt,9,15
gantt,10,15
gantt,11,16
gantt,12,16
gantt,13,16
gantt,14,16
gantt,16,16
gantt,17,16
gantt,1,16
gantt,2,16
gantt,3,16
gantt,4,16
