@RELATION traces 

@ATTRIBUTE gold	{T,N,U}
@ATTRIBUTE MethodType 	{Inner, Leaf, Root}
@ATTRIBUTE PredictedTraceValue {UndefinedTrace,NoTrace, Trace, NA}
@ATTRIBUTE CallersT REAL 
@ATTRIBUTE CallersN REAL 
@ATTRIBUTE CallersU REAL 
@ATTRIBUTE CallersCallersT REAL 
@ATTRIBUTE CallersCallersN REAL 
@ATTRIBUTE CallersCallersU REAL 
@ATTRIBUTE CalleesT REAL 
@ATTRIBUTE CalleesN REAL 
@ATTRIBUTE CalleesU REAL 
@ATTRIBUTE CalleesCalleesT REAL 
@ATTRIBUTE CalleesCalleesN REAL 
@ATTRIBUTE CalleesCalleesU REAL 
@ATTRIBUTE classGold {Trace,NoTrace,UndefinedTrace} 

@DATA


N,Inner,NoTrace,0,1,1,0,0,1,0,1,1,0,1,1,NoTrace
N,Inner,NoTrace,0,1,1,0,0,1,0,1,1,0,1,1,NoTrace
N,Inner,NoTrace,0,1,1,0,0,1,0,1,1,0,1,1,NoTrace
N,Inner,NoTrace,0,1,1,0,0,1,0,1,1,0,1,1,NoTrace
N,Inner,NoTrace,0,1,1,0,0,1,0,1,1,0,1,1,NoTrace
N,Inner,NoTrace,0,1,1,0,0,1,0,1,1,0,1,1,NoTrace
N,Inner,NoTrace,0,1,1,0,0,1,0,1,1,0,1,1,NoTrace
N,Inner,NoTrace,0,1,1,0,0,1,0,1,1,0,1,1,NoTrace
N,Inner,NoTrace,0,1,1,0,0,1,0,1,1,0,1,1,NoTrace
N,Inner,NoTrace,0,0,1,0,0,1,0,1,1,0,1,1,NoTrace
N,Inner,NoTrace,0,1,1,0,0,1,0,1,1,0,1,1,NoTrace
N,Inner,NoTrace,0,1,1,0,0,1,0,1,1,0,1,1,NoTrace
N,Leaf,NoTrace,0,0,0,0,0,0,0,0,0,0,0,0,NoTrace
N,Leaf,NoTrace,0,0,0,0,0,0,0,0,0,0,0,0,NoTrace
N,Leaf,NoTrace,0,0,0,0,0,0,0,0,0,0,0,0,NoTrace
N,Leaf,NoTrace,0,0,0,0,0,0,0,0,0,0,0,0,NoTrace
N,Leaf,NoTrace,0,0,0,0,0,0,0,0,0,0,0,0,NoTrace
N,Leaf,NoTrace,0,0,0,0,0,0,0,0,0,0,0,0,NoTrace
N,Leaf,NoTrace,0,0,0,0,0,0,0,0,0,0,0,0,NoTrace
N,Leaf,NoTrace,0,0,0,0,0,0,0,0,0,0,0,0,NoTrace
N,Leaf,NoTrace,0,0,0,0,0,0,0,0,0,0,0,0,NoTrace
N,Leaf,NoTrace,0,0,0,0,0,0,0,0,0,0,0,0,NoTrace
N,Leaf,NoTrace,0,0,0,0,0,0,0,0,0,0,0,0,NoTrace
N,Leaf,NoTrace,0,0,0,0,0,0,0,0,0,0,0,0,NoTrace
N,Leaf,NoTrace,0,0,0,0,0,0,0,0,0,0,0,0,NoTrace
N,Leaf,NoTrace,0,0,0,0,0,0,0,0,0,0,0,0,NoTrace
N,Leaf,NoTrace,0,0,0,0,0,0,0,0,0,0,0,0,NoTrace
N,Leaf,NoTrace,0,0,0,0,0,0,0,0,0,0,0,0,NoTrace
