@RELATION traces 

@ATTRIBUTE program 	{chess, gantt, itrust, jhotdraw}
@ATTRIBUTE RequirementID	REAL
@ATTRIBUTE MethodID REAL 


@DATA




itrust,22,52
itrust,23,52
itrust,24,52
itrust,25,52
itrust,26,52
itrust,27,52
itrust,28,52
itrust,29,52
itrust,30,52
itrust,31,52
itrust,10,52
itrust,32,52
itrust,11,52
itrust,33,52
itrust,12,52
itrust,34,52
itrust,13,52
itrust,14,52
itrust,15,52
itrust,16,52
itrust,17,52
itrust,18,52
itrust,19,52
itrust,1,52
itrust,2,52
itrust,3,52
itrust,4,52
itrust,5,52
itrust,6,52
itrust,7,52
itrust,8,52
itrust,9,52
itrust,20,52
itrust,21,52
itrust,22,130
itrust,23,130
itrust,24,130
itrust,25,130
itrust,26,130
itrust,27,130
itrust,28,130
itrust,29,130
itrust,30,130
itrust,31,130
itrust,10,130
itrust,32,130
itrust,11,130
itrust,33,130
itrust,12,130
itrust,34,130
itrust,13,130
itrust,14,130
itrust,15,130
itrust,16,130
itrust,17,130
itrust,18,130
itrust,19,130
itrust,1,130
itrust,2,130
itrust,3,130
itrust,4,130
itrust,5,130
itrust,6,130
itrust,7,130
itrust,8,130
itrust,9,130
itrust,20,130
itrust,21,130
itrust,22,154
itrust,23,154
itrust,24,154
itrust,25,154
itrust,26,154
itrust,27,154
itrust,28,154
itrust,29,154
itrust,30,154
itrust,31,154
itrust,10,154
itrust,32,154
itrust,11,154
itrust,33,154
itrust,12,154
itrust,34,154
itrust,13,154
itrust,14,154
itrust,15,154
itrust,16,154
itrust,17,154
itrust,18,154
itrust,19,154
itrust,1,154
itrust,2,154
itrust,3,154
itrust,4,154
itrust,5,154
itrust,6,154
itrust,7,154
itrust,8,154
itrust,9,154
itrust,20,154
itrust,21,154
itrust,22,171
itrust,23,171
itrust,24,171
itrust,25,171
itrust,26,171
itrust,27,171
itrust,28,171
itrust,29,171
itrust,30,171
itrust,31,171
itrust,10,171
itrust,32,171
itrust,11,171
itrust,33,171
itrust,12,171
itrust,34,171
itrust,13,171
itrust,14,171
itrust,15,171
itrust,16,171
itrust,17,171
itrust,18,171
itrust,19,171
itrust,1,171
itrust,2,171
itrust,3,171
itrust,4,171
itrust,5,171
itrust,6,171
itrust,7,171
itrust,8,171
itrust,9,171
itrust,20,171
itrust,21,171
itrust,22,192
itrust,23,192
itrust,24,192
itrust,25,192
itrust,26,192
itrust,27,192
itrust,28,192
itrust,29,192
itrust,30,192
itrust,31,192
itrust,10,192
itrust,32,192
itrust,11,192
itrust,33,192
itrust,12,192
itrust,34,192
itrust,13,192
itrust,14,192
itrust,15,192
itrust,16,192
itrust,17,192
itrust,18,192
itrust,19,192
itrust,1,192
itrust,2,192
itrust,3,192
itrust,4,192
itrust,5,192
itrust,6,192
itrust,7,192
itrust,8,192
itrust,9,192
itrust,20,192
itrust,21,192
itrust,22,203
itrust,23,203
itrust,24,203
itrust,25,203
itrust,26,203
itrust,27,203
itrust,28,203
itrust,29,203
itrust,30,203
itrust,31,203
itrust,10,203
itrust,32,203
itrust,11,203
itrust,33,203
itrust,12,203
itrust,34,203
itrust,13,203
itrust,14,203
itrust,15,203
itrust,16,203
