,Show startmenu,,Desktop icon,,Switch the desktop,,Resize the taskbar,,Show and update the clock,,Search for program,,Manage quick launch items,,Taskbar settings,,Change window size,,Show desktop,,"Manage file sytem, drive, directories and files",,Run... dialog,,Drag and drop,,Manage tray icons,,Persistent user state,,General Purpose Code,
BackgroundWindow::BackgroundWindow,1,6,1,6,4,3,2,5,0,7,0,8,0,8,0,8,2,5,3,3,0,8,0,8,0,3,0,8,0,8,1,6
BackgroundWindow::DrawDesktopBkgnd,1,5,1,4,3,3,1,4,1,6,0,6,0,6,0,6,2,4,5,0,0,7,0,6,0,5,0,6,0,7,1,6
BackgroundWindow::WndProc,1,5,1,4,3,3,1,5,1,6,0,7,0,7,0,7,2,4,4,1,1,6,0,7,0,5,2,5,0,7,2,5
Bookmark::Bookmark,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
Bookmark::read,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
Bookmark::read_url,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
Bookmark::write,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
BookmarkFolder::read,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BookmarkFolder::write,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BookmarkList::fill_tree,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
BookmarkList::import_IE_favorites,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
BookmarkList::read,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
BookmarkList::write,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
BookmarkNode::BookmarkNode,0,3,0,3,0,3,0,3,0,3,0,3,1,2,0,3,0,3,0,3,2,1,0,3,0,3,0,3,0,3,0,3
BookmarkNode::clear,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,1,2,0,3,0,3,0,3,0,3,1,2
BookmarkNode::operator=,0,3,0,3,0,3,0,3,0,3,0,3,1,2,0,3,0,3,0,3,0,2,0,3,0,3,0,3,0,3,1,2
BookmarkNode::~BookmarkNode,0,3,0,3,0,3,0,3,0,3,0,3,1,2,0,3,0,3,0,3,2,1,0,3,0,3,0,3,0,3,0,3
BrowseMenu::AddEntries,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
BrowseMenu::BrowseMenu,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
BrowserCallback::entry_selected,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,1,1
BrowserCallback::~BrowserCallback,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,1,1
BrowserNavigator::attach,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,1,3
BrowserNavigator::BrowserNavigator,0,5,1,4,0,5,0,5,0,5,1,4,0,5,0,5,0,4,1,4,0,5,0,5,1,4,0,5,0,5,1,3
BrowserNavigator::get_browser,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3
BrowserNavigator::goto_url,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,1,3
BrowserNavigator::navigated,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,1,3
BrowserNavigator::set_html_page,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,3,2,2
BtnWindowClass::BtnWindowClass,2,2,1,3,1,3,1,3,1,3,0,4,0,4,1,3,0,4,1,3,0,4,0,4,0,4,0,4,0,4,2,2
Button::Button,1,3,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,2,2
ChildWindow::ChildWindow,1,7,0,8,0,7,0,8,2,6,2,6,2,6,0,7,2,6,0,7,3,5,2,6,1,7,1,7,0,8,4,4
ChildWindow::create,1,7,0,8,0,8,0,8,2,6,2,6,2,6,1,7,0,8,0,8,3,5,2,6,0,8,1,7,0,8,3,3
ChildWindow::go_to,0,8,0,8,0,7,0,8,0,8,0,7,0,8,0,8,0,8,0,8,0,8,0,7,0,8,0,8,0,7,4,3
