 N->T%, TracePrecision_T, TracePrecision_NT,INTERVAL 
58,1,100,[40-60[
45,0,100,[40-60[
74,6,100,[60-80[
90,0,100,[80-100]
33,0,100,[20-40[
43,5,100,[40-60[
26,9,99,[20-40[
66,8,98,[60-80[
45,3,98,[40-60[
40,3,98,[40-60[
87,1,100,[80-100]
18,13,100,]0-20[
92,1,100,[80-100]
39,0,100,[20-40[
89,0,100,[80-100]
21,0,100,[20-40[
84,1,100,[80-100]
41,0,100,[40-60[
58,7,98,[40-60[
30,0,100,[20-40[
12,0,100,]0-20[
97,2,100,[80-100]
79,2,95,[60-80[
55,7,98,[40-60[
36,4,99,[20-40[
58,2,99,[40-60[
42,1,100,[40-60[
16,19,99,]0-20[
94,1,100,[80-100]
67,0,100,[60-80[
68,1,96,[60-80[
67,0,100,[60-80[
14,11,100,]0-20[
62,0,100,[60-80[
41,12,100,[40-60[
24,0,100,[20-40[
43,0,100,[40-60[
43,6,100,[40-60[
81,2,100,[80-100]
92,4,100,[80-100]
89,1,100,[80-100]
3,38,99,]0-20[
78,1,100,[60-80[
14,14,99,]0-20[
52,2,100,[40-60[
88,0,100,[80-100]
1,12,99,]0-20[
66,0,100,[60-80[
73,1,100,[60-80[
40,0,100,[40-60[
78,6,100,[60-80[
18,0,100,]0-20[
38,0,100,[20-40[
19,15,99,]0-20[
32,6,99,[20-40[
18,24,99,]0-20[
9,26,99,]0-20[
18,6,99,]0-20[
74,1,100,[60-80[
74,2,100,[60-80[
94,1,100,[80-100]
17,1,100,]0-20[
66,1,100,[60-80[
82,0,100,[80-100]
6,35,100,]0-20[
1,33,100,]0-20[
16,28,100,]0-20[
90,0,100,[80-100]
10,0,100,]0-20[
45,7,100,[40-60[
54,3,99,[40-60[
54,8,100,[40-60[
93,1,100,[80-100]
70,1,97,[60-80[
82,1,100,[80-100]
27,8,99,[20-40[
45,3,100,[40-60[
74,0,100,[60-80[
17,1,98,]0-20[
40,0,100,[40-60[
1,62,100,]0-20[
43,0,100,[40-60[
33,12,99,[20-40[
26,0,100,[20-40[
89,0,100,[80-100]
13,19,99,]0-20[
73,2,98,[60-80[
24,18,98,[20-40[
10,16,99,]0-20[
55,2,98,[40-60[
97,0,100,[80-100]
45,4,99,[40-60[
95,1,100,[80-100]
42,0,100,[40-60[
95,0,100,[80-100]
68,0,100,[60-80[
37,3,100,[20-40[
61,0,100,[60-80[
43,11,100,[40-60[
80,0,100,[80-100]
48,0,100,[40-60[
15,17,100,]0-20[
76,2,96,[60-80[
60,7,100,[60-80[
40,4,99,[40-60[
94,1,100,[80-100]
25,2,100,[20-40[
98,1,100,[80-100]
39,4,100,[20-40[
85,0,100,[80-100]
26,1,98,[20-40[
85,0,100,[80-100]
74,1,100,[60-80[
59,0,100,[40-60[
9,39,98,]0-20[
39,0,100,[20-40[
44,0,100,[40-60[
23,13,100,[20-40[
85,2,96,[80-100]
82,5,100,[80-100]
8,26,99,]0-20[
29,3,99,[20-40[
37,2,100,[20-40[
84,2,100,[80-100]
51,3,100,[40-60[
17,1,99,]0-20[
66,0,97,[60-80[
52,0,100,[40-60[
93,1,100,[80-100]
87,0,100,[80-100]
45,8,99,[40-60[
50,0,100,[40-60[
21,0,100,[20-40[
3,68,99,]0-20[
34,6,99,[20-40[
32,13,98,[20-40[
67,2,97,[60-80[
47,2,99,[40-60[
38,2,100,[20-40[
10,28,99,]0-20[
67,2,100,[60-80[
69,0,100,[60-80[
74,0,94,[60-80[
21,0,100,[20-40[
57,2,100,[40-60[
4,5,100,]0-20[
65,6,100,[60-80[
42,0,100,[40-60[
56,0,100,[40-60[
54,5,100,[40-60[
21,12,99,[20-40[
62,6,100,[60-80[
46,3,100,[40-60[
73,1,98,[60-80[
20,3,100,[20-40[
56,3,100,[40-60[
67,2,100,[60-80[
57,0,100,[40-60[
2,6,99,]0-20[
86,0,100,[80-100]
0,83,100,0
0,100,100,0
0,76,99,0
0,0,100,0
0,,100,0
0,83,99,0
0,92,99,0
0,95,98,0
0,66,99,0
0,83,99,0
0,66,100,0
0,84,99,0
0,100,100,0
0,50,99,0
0,,,0
0,100,99,0
0,,99,0
0,,,0
80,7,100,[80-100]
88,5,100,[80-100]
28,25,100,[20-40[
62,14,100,[60-80[
11,40,100,]0-20[
66,12,100,[60-80[
98,0,100,[80-100]
86,4,100,[80-100]
91,5,100,[80-100]
55,3,100,[40-60[
69,0,100,[60-80[
85,4,100,[80-100]
73,13,100,[60-80[
18,14,100,]0-20[
66,7,100,[60-80[
37,12,100,[20-40[
78,5,100,[60-80[
81,8,100,[80-100]
62,16,100,[60-80[
67,1,100,[60-80[
85,2,100,[80-100]
58,8,100,[40-60[
80,0,100,[80-100]
59,0,100,[40-60[
13,18,100,]0-20[
92,5,100,[80-100]
63,3,100,[60-80[
20,4,100,[20-40[
65,3,100,[60-80[
17,31,100,]0-20[
52,6,100,[40-60[
15,35,100,]0-20[
98,3,100,[80-100]
80,3,100,[80-100]
30,20,100,[20-40[
22,33,100,[20-40[
27,45,100,[20-40[
42,17,100,[40-60[
58,3,100,[40-60[
88,8,100,[80-100]
30,5,100,[20-40[
92,5,100,[80-100]
34,0,96,[20-40[
91,4,100,[80-100]
77,0,100,[60-80[
93,4,100,[80-100]
5,64,100,]0-20[
42,8,100,[40-60[
89,4,100,[80-100]
100,3,,[80-100]
81,4,100,[80-100]
35,14,96,[20-40[
52,14,94,[40-60[
77,1,100,[60-80[
21,12,100,[20-40[
70,5,100,[60-80[
41,0,100,[40-60[
90,2,100,[80-100]
52,6,100,[40-60[
71,4,100,[60-80[
89,2,100,[80-100]
13,12,100,]0-20[
60,1,95,[60-80[
21,28,100,[20-40[
33,11,100,[20-40[
93,7,100,[80-100]
24,0,100,[20-40[
80,3,100,[80-100]
69,8,100,[60-80[
78,8,100,[60-80[
79,11,100,[60-80[
96,10,100,[80-100]
78,2,100,[60-80[
66,11,100,[60-80[
76,1,100,[60-80[
67,7,100,[60-80[
49,6,95,[40-60[
78,2,100,[60-80[
50,0,100,[40-60[
80,3,100,[80-100]
83,11,100,[80-100]
69,5,100,[60-80[
60,8,100,[60-80[
85,4,100,[80-100]
15,15,100,]0-20[
52,6,92,[40-60[
12,41,96,]0-20[
68,1,100,[60-80[
74,2,100,[60-80[
35,13,100,[20-40[
22,0,100,[20-40[
41,3,100,[40-60[
2,33,100,]0-20[
46,12,100,[40-60[
3,20,97,]0-20[
31,4,100,[20-40[
82,3,100,[80-100]
38,20,100,[20-40[
68,6,100,[60-80[
85,8,100,[80-100]
3,0,100,]0-20[
83,3,100,[80-100]
13,50,100,]0-20[
19,26,100,]0-20[
76,11,100,[60-80[
46,19,100,[40-60[
21,14,100,[20-40[
26,21,100,[20-40[
75,1,100,[60-80[
67,6,100,[60-80[
28,0,96,[20-40[
50,4,100,[40-60[
26,0,100,[20-40[
71,6,100,[60-80[
71,12,100,[60-80[
77,4,100,[60-80[
74,6,100,[60-80[
82,4,100,[80-100]
79,5,100,[60-80[
68,9,90,[60-80[
49,15,100,[40-60[
80,1,100,[80-100]
86,2,100,[80-100]
27,20,100,[20-40[
82,0,100,[80-100]
57,1,100,[40-60[
50,7,100,[40-60[
60,6,100,[60-80[
49,3,96,[40-60[
81,1,100,[80-100]
29,0,97,[20-40[
26,28,100,[20-40[
55,5,100,[40-60[
77,9,100,[60-80[
50,2,100,[40-60[
62,4,100,[60-80[
31,16,100,[20-40[
33,17,100,[20-40[
97,10,,[80-100]
92,8,100,[80-100]
38,9,100,[20-40[
28,28,100,[20-40[
58,2,100,[40-60[
62,3,94,[60-80[
63,7,95,[60-80[
69,4,100,[60-80[
31,0,100,[20-40[
8,30,100,]0-20[
6,64,100,]0-20[
20,13,100,[20-40[
35,12,100,[20-40[
90,4,100,[80-100]
71,6,100,[60-80[
42,11,100,[40-60[
59,13,94,[40-60[
22,5,100,[20-40[
39,6,100,[20-40[
33,16,100,[20-40[
65,0,100,[60-80[
73,1,100,[60-80[
67,7,100,[60-80[
65,5,100,[60-80[
60,3,100,[60-80[
11,8,100,]0-20[
18,0,97,]0-20[
10,50,100,]0-20[
9,33,100,]0-20[
46,11,100,[40-60[
24,0,100,[20-40[
2,100,100,]0-20[
20,23,100,[20-40[
24,22,100,[20-40[
29,23,100,[20-40[
82,10,100,[80-100]
20,10,100,[20-40[
7,63,100,]0-20[
90,1,100,[80-100]
5,66,97,]0-20[
59,5,94,[40-60[
93,3,,[80-100]
38,0,100,[20-40[
71,5,100,[60-80[
74,12,100,[60-80[
85,4,100,[80-100]
65,6,100,[60-80[
80,5,100,[80-100]
76,5,100,[60-80[
89,7,75,[80-100]
34,13,94,[20-40[
63,2,100,[60-80[
93,2,100,[80-100]
92,4,100,[80-100]
43,0,100,[40-60[
76,1,100,[60-80[
90,3,100,[80-100]
4,33,100,]0-20[
69,2,100,[60-80[
86,2,100,[80-100]
48,0,96,[40-60[
93,9,100,[80-100]
91,4,100,[80-100]
11,33,100,]0-20[
38,4,100,[20-40[
36,12,100,[20-40[
5,40,100,]0-20[
30,18,100,[20-40[
59,16,100,[40-60[
74,12,100,[60-80[
47,5,100,[40-60[
57,12,100,[40-60[
54,1,100,[40-60[
14,6,100,]0-20[
88,6,80,[80-100]
8,11,100,]0-20[
69,0,100,[60-80[
82,3,100,[80-100]
51,19,100,[40-60[
19,27,100,]0-20[
98,3,,[80-100]
94,4,100,[80-100]
67,6,100,[60-80[
