T->N%, TracePrecision_T, TracePrecision_NT,
22,80,99,[20-40[
33,80,99,[20-40[
22,50,99,[20-40[
33,,99,[20-40[
32,100,98,[20-40[
33,,99,[20-40[
20,83,100,[20-40[
32,60,97,[20-40[
21,92,99,[20-40[
23,94,98,[20-40[
33,,99,[20-40[
27,80,100,[20-40[
20,100,100,[20-40[
33,,99,[20-40[
30,70,98,[20-40[
34,100,98,[20-40[
33,57,99,[20-40[
25,50,100,[20-40[
33,83,99,[20-40[
27,100,100,[20-40[
22,76,99,[20-40[
31,100,99,[20-40[
33,,99,[20-40[
24,77,99,[20-40[
38,100,99,[20-40[
20,100,100,[20-40[
27,73,99,[20-40[
24,78,99,[20-40[
31,100,99,[20-40[
25,100,100,[20-40[
33,,99,[20-40[
22,50,99,[20-40[
38,100,97,[20-40[
38,50,99,[20-40[
33,,99,[20-40[
40,0,100,[40-60[
59,100,97,[40-60[
44,100,99,[40-60[
50,100,99,[40-60[
40,100,100,[40-60[
40,75,98,[40-60[
40,0,100,[40-60[
52,66,99,[40-60[
56,100,99,[40-60[
55,,98,[40-60[
40,,99,[40-60[
43,85,99,[40-60[
50,100,99,[40-60[
56,50,99,[40-60[
40,,99,[40-60[
55,,98,[40-60[
59,100,99,[40-60[
54,100,98,[40-60[
56,,99,[40-60[
50,50,100,[40-60[
44,50,99,[40-60[
40,100,100,[40-60[
56,,99,[40-60[
47,100,100,[40-60[
40,,99,[40-60[
52,50,99,[40-60[
48,100,99,[40-60[
40,,100,[40-60[
40,0,100,[40-60[
43,44,99,[40-60[
45,,99,[40-60[
47,100,100,[40-60[
40,100,100,[40-60[
54,72,99,[40-60[
54,100,98,[40-60[
50,,100,[40-60[
48,100,99,[40-60[
50,,99,[40-60[
67,66,100,[60-80[
60,100,100,[60-80[
75,100,99,[60-80[
65,,98,[60-80[
73,,100,[60-80[
78,100,97,[60-80[
75,,99,[60-80[
64,100,99,[60-80[
60,100,100,[60-80[
78,100,97,[60-80[
65,,98,[60-80[
64,83,97,[60-80[
62,,98,[60-80[
69,100,99,[60-80[
64,100,99,[60-80[
60,100,100,[60-80[
60,,99,[60-80[
75,100,99,[60-80[
65,,98,[60-80[
67,,99,[60-80[
60,,100,[60-80[
71,62,96,[60-80[
60,0,100,[60-80[
62,100,98,[60-80[
60,66,100,[60-80[
78,,95,[60-80[
60,,99,[60-80[
68,,95,[60-80[
79,,99,[60-80[
67,,99,[60-80[
79,100,98,[60-80[
73,83,96,[60-80[
71,,99,[60-80[
64,85,98,[60-80[
63,50,99,[60-80[
75,0,99,[60-80[
71,100,99,[60-80[
67,,99,[60-80[
78,100,96,[60-80[
60,,99,[60-80[
100,,100,[80-100]
80,62,98,[80-100]
93,100,98,[80-100]
81,50,98,[80-100]
100,,100,[80-100]
89,,99,[80-100]
100,,100,[80-100]
81,50,98,[80-100]
81,,99,[80-100]
83,100,97,[80-100]
100,,100,[80-100]
95,100,96,[80-100]
89,50,99,[80-100]
80,,100,[80-100]
100,,100,[80-100]
93,,99,[80-100]
100,,100,[80-100]
86,,99,[80-100]
100,,100,[80-100]
94,,99,[80-100]
88,,99,[80-100]
90,,98,[80-100]
100,,100,[80-100]
80,,98,[80-100]
95,,94,[80-100]
100,,100,[80-100]
90,100,97,[80-100]
100,,100,[80-100]
93,,99,[80-100]
89,,99,[80-100]
7,91,99,]0-20[
5,84,99,]0-20[
13,66,100,]0-20[
18,91,99,]0-20[
13,66,100,]0-20[
5,85,99,]0-20[
18,91,99,]0-20[
11,100,98,]0-20[
10,64,99,]0-20[
5,100,99,]0-20[
12,100,99,]0-20[
4,92,99,]0-20[
11,50,99,]0-20[
7,83,100,]0-20[
10,94,98,]0-20[
14,85,99,]0-20[
19,80,99,]0-20[
0,83,100,0
0,100,100,0
0,76,99,0
0,0,100,0
0,,100,0
0,83,99,0
0,92,99,0
0,95,98,0
0,66,99,0
0,83,99,0
0,66,100,0
0,84,99,0
0,100,100,0
0,50,99,0
0,,,0
0,100,99,0
0,,99,0
0,,,0
38,100,98,[20-40[
36,,94,[20-40[
20,100,100,[20-40[
33,0,100,[20-40[
33,100,100,[20-40[
26,100,91,[20-40[
25,100,98,[20-40[
25,,100,[20-40[
29,100,98,[20-40[
36,100,98,[20-40[
30,,96,[20-40[
29,,96,[20-40[
29,100,100,[20-40[
33,100,100,[20-40[
37,100,86,[20-40[
20,100,100,[20-40[
33,0,100,[20-40[
33,,100,[20-40[
33,,98,[20-40[
33,,98,[20-40[
33,100,98,[20-40[
20,100,100,[20-40[
38,100,100,[20-40[
25,50,100,[20-40[
29,66,100,[20-40[
33,100,100,[20-40[
33,0,100,[20-40[
33,,100,[20-40[
22,100,100,[20-40[
25,100,98,[20-40[
22,,98,[20-40[
24,100,100,[20-40[
29,100,98,[20-40[
26,100,100,[20-40[
20,100,100,[20-40[
29,100,100,[20-40[
26,100,97,[20-40[
33,0,100,[20-40[
33,,100,[20-40[
33,100,100,[20-40[
25,100,100,[20-40[
33,0,100,[20-40[
33,,100,[20-40[
33,,100,[20-40[
33,100,100,[20-40[
33,,98,[20-40[
20,100,100,[20-40[
30,100,96,[20-40[
21,,96,[20-40[
29,100,100,[20-40[
29,,100,[20-40[
20,100,100,[20-40[
33,100,98,[20-40[
30,100,89,[20-40[
30,100,100,[20-40[
33,0,100,[20-40[
33,,100,[20-40[
33,100,100,[20-40[
22,100,98,[20-40[
29,,96,[20-40[
20,100,94,[20-40[
20,100,100,[20-40[
33,,100,[20-40[
29,100,100,[20-40[
25,100,98,[20-40[
33,,98,[20-40[
25,,100,[20-40[
20,100,100,[20-40[
33,0,100,[20-40[
33,,100,[20-40[
29,100,100,[20-40[
33,,98,[20-40[
33,100,100,[20-40[
25,,100,[20-40[
29,100,100,[20-40[
33,100,100,[20-40[
33,,89,[20-40[
33,0,100,[20-40[
25,,98,[20-40[
22,100,98,[20-40[
20,100,100,[20-40[
38,100,98,[20-40[
38,100,96,[20-40[
25,100,100,[20-40[
29,100,100,[20-40[
33,,100,[20-40[
33,,98,[20-40[
50,100,98,[40-60[
50,100,98,[40-60[
50,,100,[40-60[
40,100,98,[40-60[
50,50,100,[40-60[
43,100,100,[40-60[
43,100,100,[40-60[
50,100,98,[40-60[
57,,98,[40-60[
47,100,83,[40-60[
50,,100,[40-60[
44,100,100,[40-60[
56,,98,[40-60[
56,100,98,[40-60[
40,100,100,[40-60[
50,100,98,[40-60[
50,100,100,[40-60[
52,100,98,[40-60[
58,100,89,[40-60[
50,,100,[40-60[
56,100,100,[40-60[
53,100,89,[40-60[
50,,100,[40-60[
43,100,98,[40-60[
50,100,100,[40-60[
50,100,100,[40-60[
50,,96,[40-60[
47,100,94,[40-60[
50,100,100,[40-60[
42,100,98,[40-60[
50,,100,[40-60[
50,100,100,[40-60[
57,100,94,[40-60[
50,100,98,[40-60[
50,100,100,[40-60[
50,100,92,[40-60[
43,,100,[40-60[
50,100,98,[40-60[
40,100,88,[40-60[
50,,100,[40-60[
50,,98,[40-60[
50,100,100,[40-60[
50,,100,[40-60[
50,,96,[40-60[
50,,96,[40-60[
57,,100,[40-60[
50,100,100,[40-60[
50,,98,[40-60[
50,,100,[40-60[
50,100,98,[40-60[
50,100,100,[40-60[
50,100,100,[40-60[
48,100,96,[40-60[
50,100,100,[40-60[
44,100,100,[40-60[
50,,100,[40-60[
40,100,100,[40-60[
43,100,100,[40-60[
57,100,98,[40-60[
50,100,100,[40-60[
50,100,100,[40-60[
50,50,100,[40-60[
57,,100,[40-60[
40,100,100,[40-60[
50,100,98,[40-60[
58,100,95,[40-60[
50,,100,[40-60[
40,100,96,[40-60[
50,100,96,[40-60[
43,100,98,[40-60[
57,100,96,[40-60[
50,100,100,[40-60[
50,,100,[40-60[
40,100,94,[40-60[
50,,98,[40-60[
57,100,100,[40-60[
47,100,91,[40-60[
50,,100,[40-60[
40,100,100,[40-60[
44,,98,[40-60[
58,100,98,[40-60[
40,100,100,[40-60[
50,100,98,[40-60[
50,100,100,[40-60[
43,66,98,[40-60[
43,100,100,[40-60[
57,,100,[40-60[
57,100,98,[40-60[
50,,100,[40-60[
50,100,100,[40-60[
50,100,100,[40-60[
48,100,98,[40-60[
50,100,88,[40-60[
50,,100,[40-60[
43,,100,[40-60[
56,,98,[40-60[
50,,100,[40-60[
40,100,100,[40-60[
79,100,92,[60-80[
60,,98,[60-80[
67,,100,[60-80[
75,100,98,[60-80[
75,100,100,[60-80[
60,100,100,[60-80[
75,,98,[60-80[
67,,96,[60-80[
71,100,100,[60-80[
60,100,100,[60-80[
60,100,100,[60-80[
71,,98,[60-80[
67,,98,[60-80[
79,100,85,[60-80[
60,100,100,[60-80[
75,100,98,[60-80[
67,,98,[60-80[
71,100,98,[60-80[
78,,96,[60-80[
75,,100,[60-80[
63,100,100,[60-80[
75,,98,[60-80[
71,100,98,[60-80[
74,,92,[60-80[
60,100,96,[60-80[
78,,96,[60-80[
75,100,100,[60-80[
67,100,100,[60-80[
63,100,89,[60-80[
60,,100,[60-80[
75,,98,[60-80[
78,,98,[60-80[
63,100,87,[60-80[
75,,98,[60-80[
71,100,96,[60-80[
67,100,100,[60-80[
60,100,94,[60-80[
61,100,98,[60-80[
67,,100,[60-80[
67,,100,[60-80[
67,,98,[60-80[
74,100,85,[60-80[
78,100,98,[60-80[
60,100,100,[60-80[
79,,92,[60-80[
70,100,98,[60-80[
60,,98,[60-80[
67,100,98,[60-80[
75,,98,[60-80[
67,,98,[60-80[
79,100,88,[60-80[
75,,98,[60-80[
67,,100,[60-80[
67,,98,[60-80[
79,,84,[60-80[
75,,100,[60-80[
79,100,92,[60-80[
79,,92,[60-80[
63,100,100,[60-80[
71,,100,[60-80[
60,100,98,[60-80[
67,,100,[60-80[
67,0,100,[60-80[
67,,98,[60-80[
75,100,98,[60-80[
67,100,98,[60-80[
90,100,98,[80-100]
100,,100,[80-100]
91,100,96,[80-100]
80,,96,[80-100]
95,,90,[80-100]
86,,96,[80-100]
88,0,98,[80-100]
100,,100,[80-100]
86,,98,[80-100]
86,,98,[80-100]
86,100,92,[80-100]
93,,92,[80-100]
100,,100,[80-100]
96,,96,[80-100]
87,,80,[80-100]
86,,98,[80-100]
88,,98,[80-100]
100,,100,[80-100]
80,,100,[80-100]
89,,98,[80-100]
89,,82,[80-100]
80,,100,[80-100]
86,,98,[80-100]
83,,98,[80-100]
100,,100,[80-100]
91,100,98,[80-100]
80,,98,[80-100]
80,100,100,[80-100]
86,,98,[80-100]
95,,83,[80-100]
86,100,100,[80-100]
93,,92,[80-100]
100,,100,[80-100]
86,,98,[80-100]
100,,100,[80-100]
81,,98,[80-100]
100,,100,[80-100]
87,,76,[80-100]
86,,98,[80-100]
86,,92,[80-100]
100,,100,[80-100]
80,100,98,[80-100]
83,100,96,[80-100]
89,,92,[80-100]
80,100,100,[80-100]
80,,98,[80-100]
89,,98,[80-100]
86,,98,[80-100]
89,,98,[80-100]
83,100,96,[80-100]
80,,94,[80-100]
100,,100,[80-100]
86,100,98,[80-100]
80,,100,[80-100]
90,,98,[80-100]
84,100,88,[80-100]
83,100,94,[80-100]
14,100,100,]0-20[
14,100,98,]0-20[
17,100,100,]0-20[
10,100,100,]0-20[
14,100,100,]0-20[
14,100,100,]0-20[
8,100,100,]0-20[
14,100,100,]0-20[
10,100,97,]0-20[
11,100,100,]0-20[
14,,96,]0-20[
10,100,97,]0-20[
5,100,100,]0-20[
7,100,100,]0-20[
14,100,100,]0-20[
17,100,100,]0-20[
7,100,94,]0-20[
17,100,100,]0-20[
14,100,100,]0-20[
14,100,100,]0-20[
17,100,100,]0-20[
14,100,100,]0-20[
14,100,100,]0-20[
13,100,98,]0-20[
17,100,100,]0-20[
14,100,100,]0-20[
14,100,100,]0-20[
13,100,98,]0-20[
5,100,100,]0-20[
10,100,98,]0-20[
14,100,100,]0-20[
11,100,97,]0-20[
0,100,100,0
0,100,100,0
0,100,100,0
0,100,100,0
0,100,100,0
0,100,100,0
0,100,100,0
0,100,98,0
0,,96,0
0,50,100,0
0,,100,0
0,75,100,0
0,100,100,0
0,100,100,0
0,100,100,0
0,100,100,0
0,100,100,0
0,100,97,0
0,100,97,0
0,100,100,0
0,100,100,0
0,100,100,0
0,0,100,0
0,,100,0
0,100,100,0
0,100,100,0
0,100,98,0
0,100,100,0
0,,98,0
0,100,100,0
0,100,100,0
0,100,100,0
0,,100,0
0,100,100,0
32,100,96,[20-40[
37,88,93,[20-40[
34,78,98,[20-40[
37,87,96,[20-40[
35,60,98,[20-40[
20,100,100,[20-40[
36,82,96,[20-40[
23,91,97,[20-40[
29,68,100,[20-40[
22,60,99,[20-40[
20,96,95,[20-40[
37,71,96,[20-40[
36,88,97,[20-40[
33,100,100,[20-40[
29,66,99,[20-40[
32,73,95,[20-40[
33,66,99,[20-40[
34,70,95,[20-40[
33,100,100,[20-40[
25,100,100,[20-40[
33,62,99,[20-40[
37,79,94,[20-40[
20,50,96,[20-40[
33,100,100,[20-40[
29,50,99,[20-40[
36,88,98,[20-40[
33,100,100,[20-40[
33,50,99,[20-40[
20,81,96,[20-40[
26,86,98,[20-40[
26,66,99,[20-40[
23,75,99,[20-40[
58,64,95,[40-60[
50,100,100,[40-60[
44,100,99,[40-60[
49,84,94,[40-60[
