 N->T%, TraceRecall_T,  TraceRecall_NT,INTERVAL 
58,33,7,[40-60[
45,40,10,[40-60[
74,41,2,[60-80[
90,20,1,[80-100]
33,0,15,[20-40[
43,39,11,[40-60[
26,50,20,[20-40[
66,52,6,[60-80[
45,52,11,[40-60[
40,43,13,[40-60[
87,75,1,[80-100]
18,57,28,]0-20[
92,85,0,[80-100]
39,22,12,[20-40[
89,40,0,[80-100]
21,0,24,[20-40[
84,46,2,[80-100]
41,40,11,[40-60[
58,34,7,[40-60[
30,0,19,[20-40[
12,0,33,]0-20[
97,65,0,[80-100]
79,67,1,[60-80[
55,38,6,[40-60[
36,52,16,[20-40[
58,50,9,[40-60[
42,50,13,[40-60[
16,57,30,]0-20[
94,85,0,[80-100]
67,33,6,[60-80[
68,30,5,[60-80[
67,0,4,[60-80[
14,33,28,]0-20[
62,40,6,[60-80[
41,39,11,[40-60[
24,20,25,[20-40[
43,0,10,[40-60[
43,46,13,[40-60[
81,53,2,[80-100]
92,45,1,[80-100]
89,61,1,[80-100]
3,43,42,]0-20[
78,75,2,[60-80[
14,52,31,]0-20[
52,71,7,[40-60[
88,33,1,[80-100]
1,5,50,]0-20[
66,0,5,[60-80[
73,46,2,[60-80[
40,20,16,[40-60[
78,39,2,[60-80[
18,0,24,]0-20[
38,0,13,[20-40[
19,39,26,]0-20[
32,53,16,[20-40[
18,32,22,]0-20[
9,52,39,]0-20[
18,31,26,]0-20[
74,75,2,[60-80[
74,61,4,[60-80[
94,85,0,[80-100]
17,11,27,]0-20[
66,35,6,[60-80[
82,0,2,[80-100]
6,40,38,]0-20[
1,20,51,]0-20[
16,31,26,]0-20[
90,40,0,[80-100]
10,0,34,]0-20[
45,46,14,[40-60[
54,53,8,[40-60[
54,36,10,[40-60[
93,61,0,[80-100]
70,50,4,[60-80[
82,75,1,[80-100]
27,61,19,[20-40[
45,71,10,[40-60[
74,22,4,[60-80[
17,5,30,]0-20[
40,0,12,[40-60[
1,33,41,]0-20[
43,20,12,[40-60[
33,30,16,[20-40[
26,0,20,[20-40[
89,0,1,[80-100]
13,41,28,]0-20[
73,60,3,[60-80[
24,34,18,[20-40[
10,47,36,]0-20[
55,43,8,[40-60[
97,75,0,[80-100]
45,61,11,[40-60[
95,78,0,[80-100]
42,22,13,[40-60[
95,40,0,[80-100]
68,0,4,[60-80[
37,33,13,[20-40[
61,40,5,[60-80[
43,36,11,[40-60[
80,40,3,[80-100]
48,0,10,[40-60[
15,39,29,]0-20[
76,50,1,[60-80[
60,38,6,[60-80[
40,52,14,[40-60[
94,62,0,[80-100]
25,37,22,[20-40[
98,61,0,[80-100]
39,64,13,[20-40[
85,22,2,[80-100]
26,15,19,[20-40[
85,0,2,[80-100]
74,40,3,[60-80[
59,40,8,[40-60[
9,25,30,]0-20[
39,20,13,[20-40[
44,0,11,[40-60[
23,43,21,[20-40[
85,67,1,[80-100]
82,52,1,[80-100]
8,47,39,]0-20[
29,37,18,[20-40[
37,75,13,[20-40[
84,66,2,[80-100]
51,71,10,[40-60[
17,11,30,]0-20[
66,20,5,[60-80[
52,0,11,[40-60[
93,40,0,[80-100]
87,40,1,[80-100]
45,26,11,[40-60[
50,0,9,[40-60[
21,0,26,[20-40[
3,36,45,]0-20[
34,50,15,[20-40[
32,36,14,[20-40[
67,52,6,[60-80[
47,43,11,[40-60[
38,50,15,[20-40[
10,52,34,]0-20[
67,71,4,[60-80[
69,11,4,[60-80[
74,25,3,[60-80[
