T->N%, TraceRecall_T,  TraceRecall_NT,
22,19,43,[20-40[
33,19,50,[20-40[
22,11,54,[20-40[
33,,53,[20-40[
32,16,49,[20-40[
33,,53,[20-40[
20,33,46,[20-40[
32,4,43,[20-40[
21,46,52,[20-40[
23,21,48,[20-40[
33,,53,[20-40[
27,26,46,[20-40[
20,20,52,[20-40[
33,,53,[20-40[
30,19,43,[20-40[
34,15,49,[20-40[
33,19,52,[20-40[
25,12,49,[20-40[
33,23,50,[20-40[
27,6,46,[20-40[
22,24,51,[20-40[
31,18,49,[20-40[
33,,53,[20-40[
24,33,52,[20-40[
38,23,50,[20-40[
20,20,52,[20-40[
27,22,44,[20-40[
24,26,51,[20-40[
31,25,49,[20-40[
25,12,49,[20-40[
33,,53,[20-40[
22,11,54,[20-40[
38,10,49,[20-40[
38,14,52,[20-40[
33,,53,[20-40[
40,0,52,[40-60[
59,4,49,[40-60[
44,18,49,[40-60[
50,14,50,[40-60[
40,20,52,[40-60[
40,14,43,[40-60[
40,0,52,[40-60[
52,19,52,[40-60[
56,18,49,[40-60[
55,,53,[40-60[
40,,52,[40-60[
43,28,50,[40-60[
50,14,49,[40-60[
56,11,54,[40-60[
40,,52,[40-60[
55,,53,[40-60[
59,19,52,[40-60[
54,10,52,[40-60[
56,,54,[40-60[
50,12,49,[40-60[
44,11,54,[40-60[
40,20,52,[40-60[
56,,54,[40-60[
47,6,46,[40-60[
40,,52,[40-60[
52,9,52,[40-60[
48,23,50,[40-60[
40,,53,[40-60[
40,0,52,[40-60[
43,19,52,[40-60[
45,,53,[40-60[
47,6,46,[40-60[
40,20,52,[40-60[
54,19,51,[40-60[
54,10,52,[40-60[
50,,49,[40-60[
48,28,50,[40-60[
50,,53,[40-60[
67,13,46,[60-80[
60,20,52,[60-80[
75,12,49,[60-80[
65,,53,[60-80[
73,,46,[60-80[
78,4,52,[60-80[
75,,49,[60-80[
64,7,50,[60-80[
60,20,52,[60-80[
78,2,52,[60-80[
65,,53,[60-80[
64,6,49,[60-80[
62,,53,[60-80[
69,12,49,[60-80[
64,14,50,[60-80[
60,13,46,[60-80[
60,,52,[60-80[
75,12,49,[60-80[
65,,53,[60-80[
67,,53,[60-80[
60,,53,[60-80[
71,7,44,[60-80[
60,0,52,[60-80[
62,14,50,[60-80[
60,13,46,[60-80[
78,,45,[60-80[
60,,52,[60-80[
68,,49,[60-80[
79,,50,[60-80[
67,,53,[60-80[
79,3,52,[60-80[
73,6,49,[60-80[
71,,50,[60-80[
64,21,52,[60-80[
63,6,49,[60-80[
75,0,49,[60-80[
71,7,50,[60-80[
67,,53,[60-80[
78,1,44,[60-80[
60,,52,[60-80[
100,,54,[80-100]
80,12,52,[80-100]
93,3,52,[80-100]
81,4,52,[80-100]
100,,54,[80-100]
89,,55,[80-100]
100,,54,[80-100]
81,4,52,[80-100]
81,,49,[80-100]
83,7,44,[80-100]
100,,54,[80-100]
95,2,52,[80-100]
89,11,54,[80-100]
80,,53,[80-100]
100,,54,[80-100]
93,,51,[80-100]
100,,54,[80-100]
86,,50,[80-100]
100,,54,[80-100]
94,,49,[80-100]
88,,49,[80-100]
90,,54,[80-100]
100,,54,[80-100]
80,,53,[80-100]
95,,45,[80-100]
100,,54,[80-100]
90,4,52,[80-100]
100,,54,[80-100]
93,,50,[80-100]
89,,55,[80-100]
7,39,51,]0-20[
5,52,50,]0-20[
13,25,49,]0-20[
18,39,51,]0-20[
13,25,49,]0-20[
5,28,50,]0-20[
18,39,52,]0-20[
11,20,49,]0-20[
10,42,52,]0-20[
5,5,53,]0-20[
12,29,51,]0-20[
4,46,51,]0-20[
11,11,54,]0-20[
7,33,46,]0-20[
10,24,49,]0-20[
14,28,50,]0-20[
19,25,49,]0-20[
0,33,46,0
0,20,52,0
0,25,43,0
0,0,52,0
0,,54,0
0,36,51,0
0,46,51,0
0,31,48,0
0,47,52,0
0,31,49,0
0,25,49,0
0,52,50,0
0,50,49,0
0,11,54,0
0,,,0
0,5,53,0
0,,53,0
0,,,0
38,25,25,[20-40[
36,,24,[20-40[
20,20,25,[20-40[
33,0,24,[20-40[
33,33,24,[20-40[
26,15,21,[20-40[
25,25,25,[20-40[
25,,24,[20-40[
29,14,25,[20-40[
36,28,24,[20-40[
30,,23,[20-40[
29,,23,[20-40[
29,42,25,[20-40[
33,50,24,[20-40[
37,6,19,[20-40[
20,20,25,[20-40[
33,0,24,[20-40[
33,,25,[20-40[
33,,24,[20-40[
33,,25,[20-40[
33,22,25,[20-40[
20,40,25,[20-40[
38,12,25,[20-40[
25,12,24,[20-40[
29,28,23,[20-40[
33,33,24,[20-40[
33,0,24,[20-40[
33,,23,[20-40[
22,22,23,[20-40[
25,25,25,[20-40[
22,,24,[20-40[
24,28,25,[20-40[
29,28,23,[20-40[
26,21,26,[20-40[
20,80,24,[20-40[
29,28,25,[20-40[
26,15,21,[20-40[
33,0,24,[20-40[
33,,23,[20-40[
33,33,24,[20-40[
25,41,25,[20-40[
33,0,24,[20-40[
33,,25,[20-40[
33,,23,[20-40[
33,33,24,[20-40[
33,,25,[20-40[
20,40,25,[20-40[
30,10,23,[20-40[
21,,23,[20-40[
29,14,23,[20-40[
29,,25,[20-40[
20,80,24,[20-40[
33,16,24,[20-40[
30,3,18,[20-40[
30,10,22,[20-40[
33,0,24,[20-40[
33,,23,[20-40[
33,33,24,[20-40[
22,11,25,[20-40[
29,,23,[20-40[
20,3,17,[20-40[
20,40,25,[20-40[
33,,25,[20-40[
29,14,23,[20-40[
25,25,23,[20-40[
33,,24,[20-40[
25,,24,[20-40[
20,20,22,[20-40[
33,0,25,[20-40[
33,,23,[20-40[
29,14,23,[20-40[
33,,24,[20-40[
33,33,25,[20-40[
25,,24,[20-40[
29,28,24,[20-40[
33,50,25,[20-40[
33,,18,[20-40[
33,0,24,[20-40[
25,,23,[20-40[
22,22,25,[20-40[
20,40,25,[20-40[
38,37,25,[20-40[
38,14,26,[20-40[
25,41,25,[20-40[
29,28,23,[20-40[
33,,25,[20-40[
33,,24,[20-40[
50,50,24,[40-60[
50,8,25,[40-60[
50,,25,[40-60[
40,10,23,[40-60[
50,12,24,[40-60[
43,14,25,[40-60[
43,42,25,[40-60[
50,16,24,[40-60[
57,,23,[40-60[
47,6,18,[40-60[
50,,25,[40-60[
44,22,25,[40-60[
56,,25,[40-60[
56,11,25,[40-60[
40,20,25,[40-60[
50,50,24,[40-60[
50,50,25,[40-60[
52,17,26,[40-60[
58,5,21,[40-60[
50,,25,[40-60[
56,22,25,[40-60[
53,10,20,[40-60[
50,,24,[40-60[
43,28,25,[40-60[
50,50,24,[40-60[
50,50,25,[40-60[
50,,23,[40-60[
47,15,23,[40-60[
50,50,25,[40-60[
42,41,25,[40-60[
50,,24,[40-60[
50,12,25,[40-60[
57,21,24,[40-60[
50,50,24,[40-60[
50,50,25,[40-60[
50,10,24,[40-60[
43,,24,[40-60[
50,16,24,[40-60[
40,3,21,[40-60[
50,,25,[40-60[
50,,23,[40-60[
50,50,24,[40-60[
50,,25,[40-60[
50,,23,[40-60[
50,,23,[40-60[
57,,23,[40-60[
50,50,25,[40-60[
50,,23,[40-60[
50,,24,[40-60[
50,50,24,[40-60[
50,50,25,[40-60[
50,12,24,[40-60[
48,17,26,[40-60[
50,50,25,[40-60[
44,22,23,[40-60[
50,,24,[40-60[
40,20,25,[40-60[
43,42,25,[40-60[
57,28,24,[40-60[
50,50,24,[40-60[
50,50,25,[40-60[
50,12,22,[40-60[
