 N->U%, TracePrecision_T, TracePrecision_NT,percentage 
43,75,100,[40-60[
47,100,100,[40-60[
84,66,100,[80-100]
18,0,100,]0-20[
93,,100,[80-100]
59,77,99,[40-60[
12,92,99,]0-20[
66,96,100,[60-80[
54,66,100,[40-60[
82,75,100,[80-100]
25,50,100,[20-40[
35,85,99,[20-40[
58,70,100,[40-60[
30,50,99,[20-40[
11,100,99,]0-20[
38,,99,[20-40[
2,83,100,]0-20[
78,33,100,[60-80[
77,75,97,[60-80[
33,0,100,[20-40[
87,,100,[80-100]
92,67,100,[80-100]
18,86,99,]0-20[
83,96,99,[80-100]
99,55,100,[80-100]
30,75,99,[20-40[
11,66,100,]0-20[
11,84,100,]0-20[
46,70,100,[40-60[
53,50,99,[40-60[
62,25,99,[60-80[
22,,99,[20-40[
79,58,100,[60-80[
8,50,100,]0-20[
90,65,94,[80-100]
75,50,100,[60-80[
23,,100,[20-40[
73,75,100,[60-80[
25,92,99,[20-40[
76,96,99,[60-80[
71,62,100,[60-80[
65,85,99,[60-80[
34,66,100,[20-40[
22,84,99,[20-40[
4,100,100,]0-20[
16,50,99,]0-20[
88,20,100,[80-100]
98,,100,[80-100]
92,70,100,[80-100]
61,50,100,[60-80[
92,70,100,[80-100]
34,0,100,[20-40[
81,,100,[80-100]
66,77,99,[60-80[
54,93,100,[40-60[
25,95,98,[20-40[
88,68,100,[80-100]
73,85,98,[60-80[
35,66,100,[20-40[
33,73,99,[20-40[
14,100,100,]0-20[
2,50,99,]0-20[
27,100,99,[20-40[
92,,100,[80-100]
32,83,100,[20-40[
21,100,100,[20-40[
80,65,100,[80-100]
96,50,100,[80-100]
9,,100,]0-20[
15,83,100,]0-20[
34,92,99,[20-40[
97,93,100,[80-100]
81,66,100,[80-100]
82,75,100,[80-100]
85,42,100,[80-100]
27,73,100,[20-40[
76,66,100,[60-80[
19,50,99,]0-20[
8,100,99,]0-20[
77,,99,[60-80[
70,70,100,[60-80[
76,100,100,[60-80[
42,70,98,[40-60[
76,50,100,[60-80[
40,,100,[40-60[
41,80,99,[40-60[
16,92,99,]0-20[
50,95,99,[40-60[
73,66,100,[60-80[
76,75,98,[60-80[
32,75,100,[20-40[
80,64,100,[80-100]
62,66,100,[60-80[
97,33,100,[80-100]
99,27,100,[80-100]
11,,99,]0-20[
10,83,100,]0-20[
10,100,100,]0-20[
8,76,98,]0-20[
1,0,100,]0-20[
97,,100,[80-100]
52,86,99,[40-60[
16,92,99,]0-20[
57,95,98,[40-60[
36,66,100,[20-40[
49,85,99,[40-60[
26,50,100,[20-40[
41,75,100,[40-60[
26,77,100,[20-40[
81,50,100,[80-100]
16,100,99,]0-20[
60,,100,[60-80[
29,75,100,[20-40[
22,100,100,[20-40[
92,72,100,[80-100]
73,0,100,[60-80[
45,,100,[40-60[
89,75,100,[80-100]
89,85,100,[80-100]
61,92,99,[60-80[
73,68,100,[60-80[
10,83,99,]0-20[
4,66,100,]0-20[
99,63,100,[80-100]
79,35,100,[60-80[
73,50,100,[60-80[
50,50,99,[40-60[
97,,100,[80-100]
62,75,100,[60-80[
10,100,100,]0-20[
40,76,98,[40-60[
69,0,100,[60-80[
7,,100,]0-20[
22,83,99,[20-40[
32,93,99,[20-40[
70,93,99,[60-80[
68,66,100,[60-80[
81,71,99,[80-100]
95,60,100,[80-100]
10,84,100,]0-20[
16,77,100,]0-20[
61,50,99,[60-80[
78,40,99,[60-80[
51,,100,[40-60[
56,77,100,[40-60[
93,25,100,[80-100]
27,75,98,[20-40[
66,0,100,[60-80[
70,,100,[60-80[
40,80,99,[40-60[
80,88,99,[80-100]
18,96,99,]0-20[
5,66,99,]0-20[
75,75,99,[60-80[
71,60,100,[60-80[
83,75,98,[80-100]
56,53,100,[40-60[
90,50,100,[80-100]
74,100,98,[60-80[
7,,99,]0-20[
0,83,100,0
0,100,100,0
0,76,99,0
0,0,100,0
0,,100,0
0,83,99,0
0,92,99,0
0,95,98,0
0,66,99,0
0,83,99,0
0,66,100,0
0,84,99,0
0,100,100,0
0,50,99,0
0,,,0
0,100,99,0
0,,99,0
0,,,0
25,100,100,[20-40[
89,100,100,[80-100]
13,100,100,]0-20[
83,100,100,[80-100]
35,100,100,[20-40[
34,100,100,[20-40[
89,50,100,[80-100]
78,66,100,[60-80[
58,57,90,[40-60[
12,50,100,]0-20[
34,,100,[20-40[
20,75,100,[20-40[
42,100,100,[40-60[
29,100,100,[20-40[
39,100,100,[20-40[
15,100,100,]0-20[
19,100,100,]0-20[
84,60,100,[80-100]
53,100,100,[40-60[
17,100,100,]0-20[
37,100,100,[20-40[
60,100,100,[60-80[
6,0,100,]0-20[
52,,100,[40-60[
2,100,100,]0-20[
12,100,100,]0-20[
23,100,100,[20-40[
10,100,100,]0-20[
67,,95,[60-80[
11,100,100,]0-20[
79,80,100,[60-80[
80,100,100,[80-100]
19,,100,]0-20[
21,100,100,[20-40[
72,100,100,[60-80[
42,100,100,[40-60[
74,88,100,[60-80[
76,100,100,[60-80[
78,100,100,[60-80[
40,100,100,[40-60[
84,100,100,[80-100]
36,50,96,[20-40[
83,50,100,[80-100]
28,50,100,[20-40[
96,,100,[80-100]
32,60,100,[20-40[
2,100,100,]0-20[
3,100,100,]0-20[
93,100,100,[80-100]
1,100,100,]0-20[
56,75,100,[40-60[
68,83,93,[60-80[
62,70,100,[60-80[
99,100,100,[80-100]
64,100,100,[60-80[
99,44,100,[80-100]
90,0,100,[80-100]
21,,100,[20-40[
77,100,100,[60-80[
50,40,100,[40-60[
6,100,97,]0-20[
61,100,100,[60-80[
23,,97,[20-40[
5,100,100,]0-20[
4,100,100,]0-20[
18,100,100,]0-20[
46,,100,[40-60[
87,100,100,[80-100]
69,100,100,[60-80[
54,100,100,[40-60[
80,87,100,[80-100]
57,100,100,[40-60[
57,100,100,[40-60[
86,100,100,[80-100]
88,100,100,[80-100]
49,66,96,[40-60[
54,66,96,[40-60[
56,40,100,[40-60[
49,,100,[40-60[
30,60,100,[20-40[
87,100,100,[80-100]
4,100,100,]0-20[
54,100,100,[40-60[
36,100,100,[20-40[
74,75,100,[60-80[
47,100,96,[40-60[
96,75,100,[80-100]
98,100,,[80-100]
39,100,100,[20-40[
66,60,100,[60-80[
56,0,100,[40-60[
13,,100,]0-20[
51,100,100,[40-60[
74,40,100,[60-80[
9,100,97,]0-20[
3,100,100,]0-20[
57,,100,[40-60[
35,85,100,[20-40[
21,100,100,[20-40[
22,100,100,[20-40[
55,,100,[40-60[
71,100,100,[60-80[
32,100,100,[20-40[
12,100,100,]0-20[
84,100,100,[80-100]
6,100,100,]0-20[
44,100,100,[40-60[
24,100,100,[20-40[
22,100,100,[20-40[
30,100,100,[20-40[
51,50,96,[40-60[
8,50,100,]0-20[
26,,100,[20-40[
47,75,100,[40-60[
89,100,100,[80-100]
77,100,100,[60-80[
35,100,100,[20-40[
31,100,100,[20-40[
1,100,100,]0-20[
64,60,90,[60-80[
2,100,97,]0-20[
61,100,100,[60-80[
25,100,100,[20-40[
79,60,100,[60-80[
6,0,100,]0-20[
36,,100,[20-40[
34,100,100,[20-40[
12,66,100,]0-20[
25,100,97,[20-40[
42,100,100,[40-60[
67,,91,[60-80[
11,100,100,]0-20[
27,100,100,[20-40[
53,100,100,[40-60[
22,,100,[20-40[
9,100,100,]0-20[
1,100,100,]0-20[
14,100,100,]0-20[
35,100,100,[20-40[
64,100,100,[60-80[
16,100,100,]0-20[
38,100,100,[20-40[
95,100,100,[80-100]
33,100,97,[20-40[
96,35,100,[80-100]
98,28,,[80-100]
62,,100,[60-80[
83,66,100,[80-100]
1,100,100,]0-20[
95,100,100,[80-100]
99,100,100,[80-100]
82,100,100,[80-100]
26,100,100,[20-40[
6,100,97,]0-20[
25,100,100,[20-40[
23,100,100,[20-40[
88,100,100,[80-100]
4,100,100,]0-20[
65,0,100,[60-80[
4,,100,]0-20[
68,100,100,[60-80[
75,50,100,[60-80[
19,100,97,]0-20[
87,100,100,[80-100]
47,,100,[40-60[
7,100,100,]0-20[
64,66,100,[60-80[
18,100,100,]0-20[
76,,100,[60-80[
47,100,100,[40-60[
83,100,100,[80-100]
78,100,100,[60-80[
7,100,100,]0-20[
67,100,100,[60-80[
89,100,100,[80-100]
22,100,100,[20-40[
53,100,100,[40-60[
36,50,100,[20-40[
69,14,94,[60-80[
39,50,100,[20-40[
87,,100,[80-100]
46,75,100,[40-60[
82,100,100,[80-100]
37,100,100,[20-40[
