 N->U%, TraceRecall_T,  TraceRecall_NT,percentage 
43,100,99,[40-60[
47,100,100,[40-60[
84,100,84,[80-100]
18,,99,]0-20[
93,,100,[80-100]
59,89,98,[40-60[
12,92,99,]0-20[
66,100,99,[60-80[
54,100,98,[40-60[
82,100,98,[80-100]
25,100,99,[20-40[
35,92,99,[20-40[
58,100,99,[40-60[
30,50,99,[20-40[
11,16,100,]0-20[
38,,100,[20-40[
2,100,99,]0-20[
78,100,98,[60-80[
77,88,92,[60-80[
33,,99,[20-40[
87,,100,[80-100]
92,100,87,[80-100]
18,86,99,]0-20[
83,96,99,[80-100]
99,100,20,[80-100]
30,85,99,[20-40[
11,100,99,]0-20[
11,100,99,]0-20[
46,100,99,[40-60[
53,50,99,[40-60[
62,50,99,[60-80[
22,,100,[20-40[
79,100,95,[60-80[
8,100,99,]0-20[
90,88,80,[80-100]
75,100,99,[60-80[
23,,100,[20-40[
73,100,97,[60-80[
25,86,99,[20-40[
76,96,99,[60-80[
71,100,97,[60-80[
65,85,99,[60-80[
34,100,99,[20-40[
22,91,99,[20-40[
4,100,100,]0-20[
16,50,99,]0-20[
88,100,96,[80-100]
98,,100,[80-100]
92,100,93,[80-100]
61,100,99,[60-80[
92,100,76,[80-100]
34,,99,[20-40[
81,,100,[80-100]
66,89,98,[60-80[
54,100,99,[40-60[
25,74,99,[20-40[
88,100,95,[80-100]
73,75,99,[60-80[
35,100,99,[20-40[
33,91,99,[20-40[
14,100,100,]0-20[
2,50,99,]0-20[
27,16,100,[20-40[
92,,100,[80-100]
32,100,99,[20-40[
21,100,100,[20-40[
80,100,91,[80-100]
96,100,96,[80-100]
9,,100,]0-20[
15,100,99,]0-20[
34,86,99,[20-40[
97,100,92,[80-100]
81,100,96,[80-100]
82,100,98,[80-100]
85,100,96,[80-100]
27,100,99,[20-40[
76,100,97,[60-80[
19,50,99,]0-20[
8,12,100,]0-20[
77,,100,[60-80[
70,100,98,[60-80[
76,100,100,[60-80[
42,82,97,[40-60[
76,100,99,[60-80[
40,,100,[40-60[
41,94,99,[40-60[
16,81,99,]0-20[
50,95,99,[40-60[
73,100,97,[60-80[
76,75,98,[60-80[
32,100,99,[20-40[
80,100,95,[80-100]
62,100,98,[60-80[
97,100,95,[80-100]
99,100,60,[80-100]
11,,100,]0-20[
10,100,99,]0-20[
10,100,100,]0-20[
8,76,98,]0-20[
1,,99,]0-20[
97,,100,[80-100]
52,95,99,[40-60[
16,81,99,]0-20[
57,82,99,[40-60[
36,100,99,[20-40[
49,75,99,[40-60[
26,100,99,[20-40[
41,100,99,[40-60[
26,100,99,[20-40[
81,100,99,[80-100]
16,16,100,]0-20[
60,,100,[60-80[
29,100,99,[20-40[
22,100,100,[20-40[
92,100,72,[80-100]
73,,99,[60-80[
45,,100,[40-60[
89,100,93,[80-100]
89,100,97,[80-100]
61,96,99,[60-80[
73,100,97,[60-80[
10,62,99,]0-20[
4,100,99,]0-20[
99,100,53,[80-100]
79,100,92,[60-80[
73,100,99,[60-80[
50,25,99,[40-60[
97,,100,[80-100]
62,100,99,[60-80[
10,100,100,]0-20[
40,79,98,[40-60[
69,,99,[60-80[
7,,100,]0-20[
22,93,99,[20-40[
32,87,99,[20-40[
70,96,98,[60-80[
68,100,97,[60-80[
81,83,98,[80-100]
95,100,94,[80-100]
10,100,99,]0-20[
16,100,99,]0-20[
61,50,99,[60-80[
78,50,98,[60-80[
51,,100,[40-60[
56,100,99,[40-60[
93,100,93,[80-100]
27,81,98,[20-40[
66,,99,[60-80[
70,,100,[60-80[
40,88,99,[40-60[
80,94,98,[80-100]
18,92,99,]0-20[
5,83,99,]0-20[
75,85,98,[60-80[
71,100,99,[60-80[
83,92,95,[80-100]
56,100,98,[40-60[
90,100,98,[80-100]
74,25,100,[60-80[
7,,100,]0-20[
0,100,99,0
0,100,100,0
0,76,99,0
0,,99,0
0,,100,0
0,93,99,0
0,81,99,0
0,74,99,0
0,83,99,0
0,62,99,0
0,100,99,0
0,91,99,0
0,100,100,0
0,50,99,0
0,,,0
0,12,100,0
0,,100,0
0,,,0
25,100,100,[20-40[
89,100,100,[80-100]
13,100,100,]0-20[
83,100,100,[80-100]
35,100,100,[20-40[
34,100,100,[20-40[
