 T->U%, TracePrecision_T, TracePrecision_NT,percentage 
67,100,100,[60-80[
80,,100,[80-100]
94,100,98,[80-100]
40,,99,[40-60[
100,,100,[80-100]
20,82,99,[20-40[
82,100,99,[80-100]
66,100,98,[60-80[
14,66,99,]0-20[
50,100,99,[40-60[
75,100,100,[60-80[
67,100,99,[60-80[
79,100,100,[60-80[
44,,99,[40-60[
45,,99,[40-60[
67,,99,[60-80[
73,,100,[60-80[
80,100,100,[80-100]
90,80,98,[80-100]
80,,99,[80-100]
100,,100,[80-100]
95,100,99,[80-100]
57,90,99,[40-60[
99,,97,[80-100]
71,85,99,[60-80[
6,83,99,]0-20[
13,66,100,]0-20[
48,88,99,[40-60[
86,,100,[80-100]
67,,99,[60-80[
60,100,98,[60-80[
33,,99,[20-40[
73,,99,[60-80[
20,100,100,[20-40[
17,80,99,]0-20[
20,0,100,[20-40[
100,,100,[80-100]
88,100,99,[80-100]
86,100,99,[80-100]
38,100,98,[20-40[
33,69,99,[20-40[
44,100,99,[40-60[
88,,100,[80-100]
95,,99,[80-100]
93,100,100,[80-100]
44,50,99,[40-60[
60,,98,[60-80[
67,,99,[60-80[
80,,99,[80-100]
60,100,100,[60-80[
46,83,98,[40-60[
60,,99,[60-80[
100,,100,[80-100]
39,80,99,[20-40[
11,92,99,]0-20[
59,94,98,[40-60[
19,64,99,]0-20[
50,50,99,[40-60[
38,100,100,[20-40[
67,100,99,[60-80[
21,100,100,[20-40[
22,50,99,[20-40[
15,100,99,]0-20[
33,,99,[20-40[
7,83,100,]0-20[
20,100,100,[20-40[
78,66,98,[60-80[
40,0,100,[40-60[
100,,100,[80-100]
68,62,99,[60-80[
43,88,99,[40-60[
36,100,98,[20-40[
14,50,99,]0-20[
88,100,99,[80-100]
13,66,100,]0-20[
81,100,99,[80-100]
29,100,100,[20-40[
11,50,99,]0-20[
90,,98,[80-100]
67,,99,[60-80[
80,,99,[80-100]
20,100,100,[20-40[
48,77,98,[40-60[
40,0,100,[40-60[
100,,100,[80-100]
41,82,99,[40-60[
93,80,99,[80-100]
