 T->U%, TraceRecall_T,  TraceRecall_NT,percentage
67,100,100,[60-80[
80,,100,[80-100]
94,18,100,[80-100]
40,,100,[40-60[
100,,100,[80-100]
20,93,99,[20-40[
82,28,100,[80-100]
66,50,100,[60-80[
14,80,99,]0-20[
50,40,100,[40-60[
75,100,100,[60-80[
67,80,100,[60-80[
79,100,100,[60-80[
44,,100,[40-60[
45,,100,[40-60[
67,,100,[60-80[
73,,100,[60-80[
80,100,100,[80-100]
90,33,99,[80-100]
80,,100,[80-100]
100,,100,[80-100]
95,37,100,[80-100]
57,69,99,[40-60[
99,,100,[80-100]
71,75,99,[60-80[
6,62,99,]0-20[
13,100,99,]0-20[
48,88,99,[40-60[
86,,100,[80-100]
67,,100,[60-80[
60,10,100,[60-80[
33,,100,[20-40[
73,,100,[60-80[
20,100,100,[20-40[
17,70,99,]0-20[
20,,99,[20-40[
100,,100,[80-100]
88,25,100,[80-100]
86,14,100,[80-100]
38,60,100,[20-40[
33,81,99,[20-40[
44,25,100,[40-60[
88,,100,[80-100]
95,,100,[80-100]
93,100,100,[80-100]
44,50,99,[40-60[
60,,100,[60-80[
67,,100,[60-80[
80,,100,[80-100]
60,100,100,[60-80[
46,62,99,[40-60[
60,,100,[60-80[
100,,100,[80-100]
39,85,99,[20-40[
11,81,99,]0-20[
59,61,99,[40-60[
19,81,99,]0-20[
50,25,99,[40-60[
38,100,100,[20-40[
67,80,100,[60-80[
21,100,100,[20-40[
22,50,99,[20-40[
15,12,100,]0-20[
33,,100,[20-40[
7,100,99,]0-20[
20,100,100,[20-40[
78,20,99,[60-80[
40,,99,[40-60[
100,,100,[80-100]
68,62,99,[60-80[
43,72,99,[40-60[
36,47,100,[20-40[
14,71,99,]0-20[
88,25,100,[80-100]
13,100,99,]0-20[
81,80,100,[80-100]
29,100,100,[20-40[
11,50,99,]0-20[
90,,100,[80-100]
67,,100,[60-80[
80,,100,[80-100]
20,100,100,[20-40[
48,53,99,[40-60[
40,,99,[40-60[
100,,100,[80-100]
41,93,99,[40-60[
93,40,99,[80-100]
