Class,Methods / Requirements,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13
BitInputStream,-init-(),,,,,,,,,,x,,,,
BitInputStream,close(),,,,,,,,,,x,,,,
BitInputStream,flushbits(int),,,,,,,,,,x,,,,
BitInputStream,-init-(java.io.InputStream),,,,,,,,,,x,,,,
BitInputStream,next_start_code(),,,,,,,,,,x,,,,
BitInputStream,nextaligned(int),,,,,,,,,,x,,,,
BitInputStream,nextbits(int),,,,,,,,,,x,,,,
BitInputStream,readaligned(int),,,,,,,,,,x,,,,
BitInputStream,readbit(),,,,,,,,,,x,,,,
BitInputStream,readbits(int),,,,,,,,,,x,,,,
BitInputStream,readbuffer(),,,,,,,,,,x,,,,
BitInputStream,readint(),,,,,,,,,,x,,,,
Block,-init-(),,,,,,,,,,,,,,x
BorderPanel,clearscreen(),x,,,,,,,,,,x,,,
BorderPanel,-init-(java.awt.Color),,,,,,,,,,,,,,x
BorderPanel,insets(Insets),,,,,,,,,,,,,,x
BorderPanel,new …..,,,,,,,,x,,,,,,
BorderPanel,paint(java.awt.Graphics),x,,,,,,,,,,x,,,x
BorderPanel,setimage(java.awt.Image),,,,,,,,,,x,,,,
BorderPanel,setimagesize(int,int),,,,,,,,,,x,,,,
BorderPanel,update(java.awt.Graphics),x,,,,,,,,,x,x,,,x
Button,getLabel(),,,,x,,,,,,,,,,
Button,setLabel(),,,,x,,,,,x,,,,,
Client,run(),x,,,,x,,,,,,x,,,
Client,sendmovielist(),x,,,,x,,,,,,,,,
DataStore,change_quantierscale(int),,,,,,,,,,x,,,,
DataStore,clearblock(int),,,,,,,,,,x,,,,
DataStore,clearprevdisptime(),,,,,,,,,,x,,,,
DataStore,-init-(),,,,,,,,,,,,,,x
DataStore,decodeblock(),,,,,,,,,,x,,,,
DataStore,exchangeIframe(),,,,,,,,,,x,,,,
DataStore,exchangePframe(),,,,,,,,,,x,,,,
DataStore,getblock(int),,,,,,,,,,x,,,,
DataStore,getforward_r_size(),,,,x,,,,,,,,,,
DataStore,getfull_pel_forward_vector(),,,,x,,,,,,,,,,
DataStore,getmacroblock_type(),,,,,,,,,,x,,,,
DataStore,getpicture_coding_type(),,,,,,,,,,x,,,,
DataStore,-init-(MPEGDecoder.BorderPanel),,,,,,,,,,,,,,x
DataStore,MBAinc(int),,,,,,,,,,x,,,,
DataStore,newframe(),,,,,,,,,,x,,,,
DataStore,newslice(int),,,,,,,,,,x,,,,
DataStore,newsquence(),,,,,,,,,,x,,,,
DataStore,resetMBA(),,,,,,,,,,x,,,,
DataStore,resetpastdct(),,,,,,,,,,x,,,,
DataStore,setgopheader(MPEGDecoder.GOPHeader),,,,,,,,,,,,,,x
DataStore,setmacroheader(MPEGDecoder.MacroHeader),,,,,,,,,,,,,,x
DataStore,setnonintra(),,,,,,,,,,x,,,,
DataStore,setpictureheader(MPEGDecoder.PictureHeader),,,,,,,,,,,,,,x
DataStore,setratecontrol(),,,,,,,,,,,,,,x
DataStore,setsequenceheader(MPEGDecoder.SequenceHeader),,,,,,,,,,,,,,x
DataStore,showframe(),,,,,,,,,,x,,,,
DataStore,showIframe(),,,,,,,,,,x,,,,
DataStore,showPframe(),,,,,,,,,,x,,,,
DataStore,skipblock(),,,,,,,,,,x,,,,
DataStore,startnewpicture(int),,,,,,,,,,x,,,,
Detail,button1_actionPerformed(java.awt.event.ActionEvent),,,x,,,,,,,,,,,
Detail,-init-(),,,,,,,,,,,,,,x
Detail,jbInit(),,,,,,,,,,,,,,x
Detail,-init-(),x,,,,,,,,,,,,,
Detail,setmovie(java.lang.String),,,x,,,,,,,,,,,
DetailListener1,actionPerformed(java.awt.event.ActionEvent),,,x,,,,,,,,,,,
DetailListener1,-init-(MPEGDecoder.Detail),,,,,,,,,,,,,,x
FrameImage,addblock(??),,,,,,,,,,x,,,,
FrameImage,-init-(),,,,,,,,,,,,,,x
FrameImage,exchangepicture(int),,,,,,,,,,x,,,,
FrameImage,getImage(?),,,,,,,,,,x,,,,
FrameImage,getImage(??),,,,,,,,,,x,,,,
FrameImage,getPImage(),,,,,,,,,,x,,,,
